,Frequency,CustGender,CustAccountBalance,Monetary,CustomerAge,Recency,Cluster
137,1,1,151.18,200.0,26.0,306,0
138,1,0,8914.72,1521.0,29.0,306,4
139,1,1,23514.02,310.0,31.0,306,1
140,1,1,4737.34,380.0,24.0,306,0
141,1,1,70042.55,1000.0,38.0,306,2
142,1,1,63526.19,1889.0,40.0,306,4
143,1,0,2084.62,2298.0,22.0,306,4
144,1,1,29904.47,29.0,19.0,306,0
145,1,1,51333.94,500.0,21.0,306,0
146,1,1,14523.02,660.0,38.0,306,1
147,1,0,8340.24,199.0,22.0,306,3
148,1,1,5333.38,15.0,24.0,306,0
149,1,0,35758.0,700.0,39.0,306,3
150,1,1,8039.57,40.0,28.0,306,0
151,1,1,10957.18,0.0,31.0,306,1
152,1,0,24281.87,50.0,28.0,306,3
153,1,1,11870.69,310.0,29.0,306,0
154,1,1,45965.04,100.0,26.0,306,0
155,1,1,3829.07,949.0,24.0,306,0
156,1,1,693.05,364.0,26.0,306,0
157,1,1,82.58,763.0,28.0,306,0
158,1,0,9456.37,30.0,23.0,306,3
159,1,1,37355.2,830.0,35.0,306,1
160,1,1,686.26,200.0,22.0,306,0
161,1,0,119009.03,1100.0,40.0,306,2
162,1,0,114052.18,309.0,30.0,306,2
163,1,0,6263.14,30.0,24.0,306,3
164,1,1,7457.57,20.0,29.0,306,0
165,1,1,9740.81,300.0,25.0,306,0
166,1,0,3935.34,1349.0,26.0,306,3
167,1,1,35662.31,100.0,22.0,306,0
168,1,1,55211.22,273.0,41.0,306,1
169,1,0,33947.49,277.41,34.0,306,3
170,1,1,19006.24,1360.0,23.0,306,4
171,1,1,10875.39,100.0,23.0,306,0
172,1,1,100822.05,438.0,29.0,306,2
173,1,1,2928.81,70.0,20.0,306,0
174,1,1,2291.96,440.0,23.0,306,0
175,1,1,14.15,144.0,24.0,306,0
176,1,0,64726.21,110.0,24.0,306,3
177,1,1,950.48,49.0,19.0,306,0
178,1,1,244.87,1017.0,42.0,306,1
179,1,1,21845.3,260.0,37.0,306,1
180,1,0,6158.53,376.0,28.0,306,3
181,1,0,53788.83,30.0,28.0,306,3
182,1,1,7005.17,570.0,32.0,306,1
183,1,1,19219.18,169.0,32.0,306,1
184,1,1,40810.69,562.0,32.0,306,1
185,1,1,2775.44,765.0,28.0,306,0
186,1,1,2007.41,249.0,31.0,306,1
187,1,1,1940.44,1711.0,33.0,306,4
188,1,1,47.24,2141.0,30.0,306,4
189,1,1,16118.91,550.0,26.0,306,0
190,1,1,22745.12,2072.5,34.0,306,4
191,1,1,4844.87,352.55,26.0,306,0
192,1,1,99.53,340.0,33.0,306,1
193,1,1,4368.25,1250.0,33.0,306,4
194,1,1,28451.87,1603.0,42.0,306,4
195,1,1,13479.11,1000.0,31.0,306,4
196,1,1,3092.14,164.0,32.0,306,1
197,1,0,242.7,200.0,24.0,306,3
198,1,1,2277.46,150.0,19.0,306,0
199,1,1,1480.84,298.0,23.0,306,0
200,1,1,0.65,1250.0,28.0,306,4
201,1,1,6764.6,10.0,28.0,306,0
202,1,0,14892.57,521.0,33.0,306,3
203,1,0,30743.2,250.0,23.0,306,3
204,1,1,272.79,724.0,27.0,306,0
205,1,0,9566.49,115.0,26.0,306,3
206,1,1,202.05,140.0,24.0,306,0
207,1,1,48565.99,1400.0,25.0,306,4
208,1,1,84088.09,842.0,33.0,306,2
209,1,1,4524.43,762.0,39.0,306,1
210,1,1,18557.7,167.0,39.0,306,1
211,1,1,68305.03,300.0,39.0,306,2
212,1,1,470.96,100.0,23.0,306,0
213,1,1,383.34,12.0,25.0,306,0
214,1,1,4948.86,450.0,35.0,306,1
215,1,0,7738.56,20.0,21.0,306,3
216,1,1,276.96,753.43,24.0,306,0
217,1,1,8704.03,440.0,26.0,306,0
218,1,1,14452.47,458.0,28.0,306,0
219,1,1,87.17,300.0,23.0,306,0
220,1,1,92.1,89.7,25.0,306,0
221,1,1,2560.27,80.0,33.0,306,1
222,1,1,22141.3,22.0,29.0,306,0
223,1,0,2442.02,100.0,32.0,306,3
224,1,1,31699.98,102.0,24.0,306,0
225,1,1,8147.8,300.0,28.0,306,0
226,1,1,64541.1,330.0,33.0,306,2
227,1,0,8725.5,523.95,33.0,306,3
228,1,1,97.5,0.0,31.0,306,1
229,1,0,1.0,50.0,27.0,306,3
230,1,1,4026.5,300.0,30.0,306,0
231,1,0,1.1,49.0,25.0,306,3
232,1,0,1493.99,340.72,26.0,306,3
233,1,1,12301.15,200.0,29.0,306,0
234,1,1,59601.26,1440.0,28.0,306,4
235,1,1,8234.4,215.0,34.0,306,1
236,1,1,5744.86,100.0,33.0,306,1
237,1,1,34033.66,300.0,29.0,306,0
238,1,0,12221.42,297.0,23.0,306,3
239,1,1,1118.24,210.0,26.0,306,0
240,1,1,5505.86,2200.0,28.0,306,4
241,1,0,47238.07,999.0,31.0,306,3
242,1,1,8661.23,459.0,27.0,306,0
243,1,0,584.46,1267.0,39.0,306,4
244,1,1,22743.01,1720.0,39.0,306,4
245,1,1,1004.38,125.0,32.0,306,1
246,1,1,1374.02,100.0,33.0,306,1
247,1,1,204.15,2000.0,29.0,306,4
248,1,1,11.27,31.0,29.0,306,0
249,1,1,23145.38,1000.0,41.0,306,1
250,1,1,536.4,500.0,34.0,306,1
251,1,1,10912.36,150.0,41.0,306,1
252,1,1,7454.57,1450.5,34.0,306,4
253,1,0,47811.77,1397.0,41.0,306,4
254,1,1,321.68,903.0,27.0,306,0
255,1,1,14856.51,94.0,24.0,306,0
256,1,0,10565.42,20.0,25.0,306,3
257,1,1,42734.8,400.0,20.0,306,0
258,1,1,65737.04,391.0,34.0,306,2
259,1,1,4.93,60.0,32.0,306,1
260,1,1,321.68,1580.0,27.0,306,4
261,1,1,11.06,200.0,24.0,306,0
262,1,1,11124.55,50.0,19.0,306,0
263,1,1,38502.08,698.0,33.0,306,1
264,1,0,6961.44,780.26,23.0,306,3
265,1,1,945.7,248.0,32.0,306,1
266,1,1,7063.92,500.0,40.0,306,1
267,1,1,19422.88,100.0,25.0,306,0
268,1,0,43629.84,1371.0,30.0,306,4
269,1,0,29292.62,668.0,37.0,306,3
270,1,1,4986.11,100.0,20.0,306,0
271,1,1,28479.09,50.0,37.0,306,1
272,1,0,5354.07,89.0,24.0,306,3
273,1,1,28695.88,1568.0,26.0,306,4
274,1,1,5732.65,107.0,28.0,306,0
275,1,0,115572.66,260.0,28.0,306,2
276,1,1,30469.01,10.0,24.0,306,0
277,1,1,0.48,60.0,27.0,306,0
278,1,0,23006.93,661.5,40.0,306,1
279,1,1,17445.28,198.0,34.0,306,1
280,1,0,104371.55,660.0,30.0,306,2
281,1,1,17.67,20.0,27.0,306,0
282,1,1,186.36,260.0,21.0,306,0
283,1,1,6898.18,250.0,31.0,306,1
284,1,1,9346.89,298.0,33.0,306,1
285,1,1,49637.42,380.0,33.0,306,1
286,1,1,2.9,20.0,28.0,306,0
287,1,0,120780.9,50.0,25.0,306,2
288,1,1,27.78,300.0,25.0,306,0
289,1,1,65526.93,700.0,30.0,306,2
290,1,1,3851.63,1500.0,30.0,306,4
291,1,1,4787.94,851.0,32.0,306,1
292,1,1,40652.33,180.0,30.0,306,1
293,1,1,426.0,10.0,21.0,306,0
294,1,1,869.68,90.0,29.0,306,0
295,1,1,8466.53,200.0,33.0,306,1
296,1,1,48.35,330.0,22.0,306,0
297,1,1,3453.13,64.0,25.0,306,0
298,1,1,28498.26,1500.0,35.0,306,4
299,1,0,63749.85,500.0,38.0,306,2
300,1,1,75016.55,120.0,33.0,306,2
301,1,1,140.25,50.0,24.0,306,0
302,1,1,43585.2,600.0,38.0,306,1
303,1,1,13859.96,31.0,32.0,306,1
304,1,1,18434.31,400.0,34.0,306,1
305,1,0,16406.64,291.0,28.0,306,3
306,1,0,10301.3,1341.5,29.0,306,4
307,1,1,10149.15,899.01,28.0,306,0
308,1,1,2189.25,1920.0,32.0,306,4
309,1,1,2763.73,350.0,25.0,306,0
310,1,1,16.6,1506.0,36.0,306,4
311,1,1,2128.77,50.0,27.0,306,0
312,1,1,16242.9,500.0,37.0,306,1
313,1,1,65367.25,650.0,40.0,306,2
314,1,1,74407.91,668.96,32.0,306,2
315,1,1,43557.25,1660.0,34.0,306,4
316,1,1,7725.86,245.0,29.0,306,0
317,1,0,37633.33,1951.0,27.0,306,4
318,1,0,99068.93,323.07,42.0,306,2
319,1,0,72809.11,715.0,36.0,306,2
320,1,1,6732.1,100.0,26.0,306,0
321,1,0,9456.37,10.0,23.0,306,3
322,1,1,6536.65,300.0,25.0,306,0
323,1,1,78332.49,210.0,31.0,306,2
324,1,1,11225.18,462.0,36.0,306,1
325,1,0,15709.15,200.0,33.0,306,3
326,1,1,23062.81,200.0,28.0,306,0
327,1,1,4399.99,225.0,39.0,306,1
328,1,1,47592.27,555.0,30.0,306,1
329,1,1,11971.83,500.0,24.0,306,0
330,1,0,129214.76,100.0,25.0,306,2
